date,watch_minutes,num_sessions
2019-09-01,1.5833333333333333,1
2019-09-03,10.45,1
2019-09-04,16.7,3
2019-09-10,42.78333333333333,1
2019-09-13,58.916666666666664,1
2019-09-17,75.36666666666666,2
2019-10-14,27.283333333333335,1
2019-10-15,11.833333333333332,2
2019-10-20,36.3,2
2019-10-21,8.8,1
2019-10-28,500.45,6
2019-11-02,90.9,2
2019-11-03,4.216666666666667,2
2019-11-04,32.56666666666667,1
2019-11-05,160.9,8
2019-11-07,223.33333333333334,9
2019-11-08,202.05,13
2019-11-09,140.43333333333334,5
2019-11-10,228.1,10
2019-11-11,216.36666666666667,12
2019-11-12,54.06666666666666,3
2019-11-14,238.75,9
2019-11-15,207.51666666666668,13
2019-11-16,133.61666666666667,8
2019-11-17,211.65,13
2019-11-18,273.7,12
2019-11-19,131.6,6
2019-11-20,4.766666666666667,1
2019-11-21,388.51666666666665,18
2019-11-22,401.46666666666664,23
2019-11-23,387.98333333333335,16
2019-11-24,61.28333333333333,3
2019-11-25,13.966666666666667,2
2019-11-26,38.7,1
2019-11-28,94.53333333333333,3
2019-12-06,122.2,3
2019-12-07,31.85,1
2019-12-09,240.16666666666666,5
2019-12-11,175.51666666666668,7
2019-12-12,105.56666666666666,10
2019-12-14,217.01666666666668,8
2019-12-15,49.06666666666666,3
2019-12-30,42.53333333333333,1
2019-12-31,175.33333333333331,3
2020-01-01,12.116666666666667,1
2020-01-04,62.08333333333333,4
2020-01-06,60.06666666666667,1
2020-01-07,413.23333333333335,11
2020-01-08,270.5833333333333,3
2020-01-13,115.38333333333334,2
2020-01-14,27.75,1
2020-01-17,106.85000000000001,4
2020-01-18,99.86666666666667,4
2020-01-19,80.91666666666667,3
2020-01-22,82.73333333333333,2
2020-01-23,87.65,1
2020-01-24,141.5,5
2020-01-25,34.766666666666666,2
2020-01-26,204.05,8
2020-01-27,439.08333333333337,17
2020-01-28,283.48333333333335,10
2020-01-29,319.96666666666664,13
2020-01-30,285.8,12
2020-01-31,145.68333333333334,3
2020-02-01,14.700000000000001,3
2020-02-02,91.03333333333333,4
2020-02-03,149.88333333333333,6
2020-02-04,131.53333333333333,6
2020-02-05,42.13333333333334,2
2020-02-06,183.96666666666667,6
2020-02-07,213.21666666666667,10
2020-02-08,175.88333333333333,5
2020-02-09,160.78333333333333,7
2020-02-10,172.71666666666667,5
2020-02-11,129.76666666666668,6
2020-02-12,64.91666666666666,3
2020-02-13,159.88333333333333,9
2020-02-14,39.733333333333334,3
2020-02-15,35.55,2
2020-02-16,112.06666666666666,6
2020-02-17,60.2,4
2020-02-18,61.1,3
2020-02-19,31.483333333333334,2
2020-02-20,223.58333333333331,11
2020-02-21,47.06666666666667,3
2020-02-22,444.25,20
2020-02-23,130.28333333333333,7
2020-02-24,197.6,13
2020-02-25,148.63333333333335,11
2020-02-26,132.98333333333332,12
2020-02-27,52.7,6
2020-02-28,129.48333333333332,12
2020-02-29,159.45000000000002,8
2020-03-01,145.01666666666668,7
2020-03-02,85.98333333333333,1
2020-03-03,55.46666666666667,1
2020-03-07,20.25,1
2020-03-10,7.133333333333334,1
2020-03-12,17.65,2
2020-03-13,110.15,6
2020-03-14,66.46666666666667,3
2020-03-16,80.9,3
2020-03-17,91.44999999999999,3
2020-03-18,267.06666666666666,8
2020-03-19,23.233333333333334,1
2020-03-20,140.31666666666666,4
2020-03-21,57.81666666666666,2
2020-03-23,8.016666666666667,1
2020-03-25,3.433333333333333,1
2020-03-26,60.5,1
2020-03-27,42.083333333333336,1
2020-03-28,100.71666666666667,4
2020-03-30,28.68333333333333,2
2020-04-01,173.35,8
2020-04-02,18.883333333333333,1
2020-04-03,189.45,8
2020-04-04,51.983333333333334,1
2020-04-05,99.36666666666666,5
2020-04-06,98.3,5
2020-04-07,115.71666666666667,5
2020-04-08,289.2833333333333,14
2020-04-09,537.2833333333333,17
2020-04-10,268.5833333333333,16
2020-04-11,8.666666666666666,2
2020-04-12,25.4,2
2020-04-13,11.55,1
2020-04-15,10.633333333333333,1
2020-04-17,24.7,1
2020-04-18,359.83333333333337,15
2020-04-19,525.0833333333334,33
2020-04-20,71.28333333333333,4
2020-04-21,82.95000000000002,3
2020-04-22,52.2,2
2020-04-24,170.14999999999998,10
2020-04-25,33.8,1
2020-04-26,115.15,4
2020-04-27,65.73333333333333,4
2020-04-30,166.46666666666667,4
2020-05-01,79.88333333333334,4
2020-05-02,85.01666666666667,4
2020-05-03,36.333333333333336,3
2020-05-05,165.93333333333334,6
2020-05-06,47.31666666666666,4
2020-05-08,234.3166666666667,3
2020-05-09,156.75,8
2020-05-11,44.95,3
2020-05-12,17.166666666666664,2
2020-05-13,7.733333333333333,1
2020-05-14,81.46666666666667,1
2020-05-17,111.81666666666666,1
2020-05-18,9.616666666666667,2
2020-05-19,29.733333333333334,3
2020-05-21,43.4,3
2020-05-22,34.2,1
2020-05-23,142.21666666666667,5
2020-05-24,51.0,4
2020-05-25,108.0,6
2020-05-26,74.21666666666667,5
2020-05-27,9.533333333333333,1
2020-05-30,18.716666666666665,1
2020-06-04,56.25,2
2020-06-10,18.933333333333334,1
2020-06-12,32.93333333333333,1
2020-06-13,68.53333333333333,3
2020-06-15,67.35,2
2020-06-20,203.61666666666667,8
2020-06-21,295.26666666666665,9
2020-06-29,155.56666666666666,4
2020-07-06,111.33333333333333,1
2020-07-07,37.93333333333334,2
2020-07-08,21.133333333333333,3
2020-07-11,149.11666666666667,3
2020-07-13,535.0166666666667,24
2020-07-19,457.8333333333333,11
2020-07-20,662.65,11
2020-07-21,24.8,1
2020-07-23,53.88333333333333,1
2020-07-24,112.15,1
2020-07-25,248.83333333333334,7
2020-07-26,422.1,14
2020-07-27,100.85,6
2020-07-31,8.216666666666667,1
2020-08-04,330.15000000000003,8
2020-08-06,38.45,1
2020-08-08,140.51666666666668,5
2020-08-09,104.18333333333334,3
2020-08-13,90.41666666666666,2
2020-08-14,101.28333333333333,6
2020-08-15,203.51666666666665,8
2020-08-16,53.483333333333334,3
2020-08-17,7.083333333333333,1
2020-08-18,23.96666666666667,2
2020-08-19,94.41666666666666,6
2020-08-20,397.98333333333335,13
2020-08-21,310.31666666666666,10
2020-08-22,82.36666666666666,1
2020-08-23,11.233333333333333,1
2020-08-26,46.11666666666667,1
2020-08-27,353.4,16
2020-08-28,505.3333333333333,21
2020-08-29,172.33333333333334,6
2020-09-01,36.05,2
2020-09-02,176.58333333333334,12
2020-09-03,310.93333333333334,14
2020-09-04,134.95,9
2020-09-05,162.68333333333334,8
2020-09-07,28.299999999999997,2
2020-09-09,121.16666666666667,4
2020-09-10,178.43333333333334,9
2020-09-11,55.3,3
2020-09-12,30.433333333333334,3
2020-09-13,192.11666666666667,9
2020-09-14,175.63333333333333,16
2020-09-17,73.75,9
2020-09-18,130.3,8
2020-09-19,230.26666666666668,14
2020-09-20,426.93333333333334,22
2020-09-22,1.3166666666666667,1
2020-09-25,3.783333333333333,1
2020-09-26,2.183333333333333,1
2020-09-28,24.416666666666664,2
2020-10-03,87.96666666666667,1
2020-10-06,43.4,3
2020-10-07,99.86666666666666,1
2020-10-08,32.68333333333334,2
2020-10-11,407.31666666666666,10
2020-10-12,378.78333333333336,16
2020-10-13,128.66666666666666,6
2020-10-14,79.83333333333334,3
2020-10-15,18.983333333333334,1
2020-10-16,67.63333333333334,3
2020-10-20,1.8166666666666667,1
2020-10-23,498.93333333333334,10
2020-10-24,529.0833333333334,11
2020-10-25,330.98333333333335,10
2020-10-26,369.76666666666665,15
2020-10-27,190.81666666666666,9
2020-10-28,212.43333333333334,11
2020-10-29,546.1833333333334,18
2020-10-30,415.65,16
2020-10-31,116.43333333333334,3
2020-11-01,267.05,12
2020-11-02,236.39999999999998,9
2020-11-03,170.3,7
2020-11-04,235.96666666666667,10
2020-11-05,64.33333333333333,5
2020-11-06,52.63333333333333,4
2020-11-07,17.383333333333333,1
2020-11-10,27.15,1
2020-11-11,17.716666666666665,1
2020-11-13,216.51666666666665,8
2020-11-14,154.55,8
2020-11-15,281.65,10
2020-11-16,189.7,8
2020-11-17,194.78333333333333,10
2020-11-18,46.55,1
2020-11-19,51.41666666666667,4
2020-11-20,268.3833333333333,11
2020-11-21,133.78333333333333,6
2020-11-22,91.25,6
2020-11-23,9.816666666666666,1
2020-11-26,67.63333333333333,2
2020-11-30,40.75,1
2020-12-01,96.56666666666666,5
2020-12-02,53.016666666666666,2
2020-12-03,326.0833333333333,11
