date,step_count,active_energy_kcal,exercise_minutes,resting_hr_bpm,hrv_ms,sleep_hours
2021-10-28,3477.0,,,,,
2021-10-29,2272.0,,,,,
2021-10-30,7319.0,,,,,
2021-10-31,1033.0,,,,,
2021-11-01,3107.0,,,,,
2021-11-02,750.0,,,,,
2021-11-03,694.0,,,,,
2021-11-04,927.0,,,,,
2021-11-05,2724.0,,,,,
2021-11-06,765.0,,,,,
2021-11-07,1026.0,,,,,
2021-11-08,4135.0,,,,,
2021-11-09,4151.0,,,,,
2021-11-10,4346.0,,,,,
2021-11-11,5087.0,,,,,
2021-11-12,5570.0,,,,,
2021-11-13,8083.0,,,,,
2021-11-14,3423.0,,,,,
2021-11-15,3646.0,,,,,
2021-11-16,3931.0,,,,,
2021-11-17,1370.0,,,,,
2021-11-18,1418.0,,,,,
2021-11-19,6422.0,,,,,
2021-11-20,1263.0,,,,,
2021-11-21,5800.0,,,,,
2021-11-22,5028.0,,,,,
2021-11-23,4776.0,,,,,
2021-11-24,4247.0,,,,,
2021-11-25,5242.0,,,,,
2021-11-26,4426.0,,,,,
2021-11-27,6963.0,,,,,
2021-11-28,12687.0,,,,,
2021-11-29,5113.0,,,,,
2021-11-30,2010.0,,,,,
2021-12-01,3658.0,,,,,
2021-12-02,4593.0,,,,,
2021-12-03,3631.0,,,,,
2021-12-04,3389.0,,,,,
2021-12-05,2370.0,,,,,
2021-12-06,8065.0,,,,,
2021-12-07,4854.0,,,,,
2021-12-08,6126.0,,,,,
2021-12-09,4153.0,,,,,
2021-12-10,4425.0,,,,,
2021-12-11,2622.0,,,,,
2021-12-12,1155.0,,,,,
2021-12-13,6050.0,,,,,
2021-12-14,4802.0,,,,,
2021-12-15,5156.0,,,,,
2021-12-16,4565.0,,,,,
2021-12-17,4507.0,,,,,
2021-12-18,4562.0,,,,,
2021-12-19,5334.0,,,,,
2021-12-20,5187.0,,,,,
2021-12-21,4593.0,,,,,
2021-12-22,4052.0,,,,,
2021-12-23,5609.0,,,,,
2021-12-24,4465.0,,,,,
2021-12-25,7559.0,,,,,
2021-12-26,1029.0,,,,,
2021-12-27,5631.0,,,,,
2021-12-28,5141.0,,,,,
2021-12-29,4911.0,,,,,
2021-12-30,4311.0,,,,,
2021-12-31,4325.0,,,,,
2022-01-01,490.0,,,,,
2022-01-02,569.0,,,,,
2022-01-03,4430.0,,,,,
2022-01-04,4115.0,,,,,
2022-01-05,3759.0,,,,,
2022-01-06,4818.0,,,,,
2022-01-07,4639.0,,,,,
2022-01-08,2290.0,,,,,
2022-01-09,732.0,,,,,
2022-01-10,4589.0,,,,,
2022-01-11,4689.0,,,,,
2022-01-12,4180.0,,,,,
2022-01-13,4227.0,,,,,
2022-01-14,8565.0,,,,,
2022-01-15,4047.0,,,,,
2022-01-16,14780.0,,,,,
2022-01-17,6271.0,,,,,
2022-01-18,4899.0,,,,,
2022-01-19,10718.0,,,,,
2022-01-20,7330.0,,,,,
2022-01-21,7230.0,,,,,
2022-01-22,839.0,,,,,
2022-01-23,4606.0,,,,,
2022-01-24,1739.0,,,,,
2022-01-25,897.0,,,,,
2022-01-26,1951.0,,,,,
2022-01-27,1199.0,,,,,
2022-01-28,3791.0,,,,,
2022-01-29,618.0,,,,,
2022-01-30,6100.0,,,,,
2022-01-31,2032.0,,,,,
2022-02-01,13913.0,,,,,
2022-02-02,5631.0,,,,,
2022-02-03,1517.0,,,,,
2022-02-04,3731.0,,,,,
2022-02-05,5829.0,,,,,
2022-02-06,1215.0,,,,,
2022-02-07,17008.0,,,,,
2022-02-08,5742.0,,,,,
2022-02-09,4659.0,,,,,
2022-02-10,3886.0,,,,,
2022-02-11,4926.0,,,,,
2022-02-12,4428.0,,,,,
2022-02-13,7387.0,,,,,
2022-02-14,4391.0,,,,,
2022-02-15,4328.0,,,,,
2022-02-16,4445.0,,,,,
2022-02-17,10524.0,,,,,
2022-02-18,3975.0,,,,,
2022-02-19,5528.0,,,,,
2022-02-20,7146.0,,,,,
2022-02-21,4150.0,,,,,
2022-02-22,5023.0,,,,,
2022-02-23,5263.0,,,,,
2022-02-24,4586.0,,,,,
2022-02-25,4058.0,,,,,
2022-02-26,8875.0,,,,,
2022-02-27,4906.0,,,,,
2022-02-28,5920.0,,,,,
2022-03-01,5597.0,,,,,
2022-03-02,6951.0,,,,,
2022-03-03,10097.0,,,,,
2022-03-04,4059.0,,,,,
2022-03-05,8453.0,,,,,
2022-03-06,3953.0,,,,,
2022-03-07,5521.0,,,,,
2022-03-08,4606.0,,,,,
2022-03-09,5616.0,,,,,
2022-03-10,883.0,,,,,
2022-03-11,593.0,,,,,
2022-03-12,759.0,,,,,
2022-03-13,5295.0,,,,,
2022-03-14,7604.0,,,,,
2022-03-15,5388.0,,,,,
2022-03-16,4969.0,,,,,
2022-03-17,4288.0,,,,,
2022-03-18,538.0,,,,,
2022-03-19,910.0,,,,,
2022-03-20,889.0,,,,,
2022-03-21,7139.0,,,,,
2022-03-22,4512.0,,,,,
2022-03-23,8117.0,,,,,
2022-03-24,4801.0,,,,,
2022-03-25,5139.0,,,,,
2022-03-26,1869.0,,,,,
2022-03-27,6707.0,,,,,
2022-03-28,9898.0,,,,,
2022-03-29,7956.0,,,,,
2022-03-30,4801.0,,,,,
2022-03-31,11850.0,,,,,
2022-04-01,7807.0,,,,,
2022-04-02,2234.0,,,,,
2022-04-03,13023.0,,,,,
2022-04-04,3738.0,,,,,
2022-04-05,11006.0,,,,,
2022-04-06,6246.0,,,,,
2022-04-07,9908.0,,,,,
2022-04-08,7166.0,,,,,
2022-04-09,7955.0,,,,,
2022-04-10,6182.0,,,,,
2022-04-11,11403.0,,,,,
2022-04-12,14062.0,,,,,
2022-04-13,3767.0,,,,,
2022-04-14,901.0,,,,,
2022-04-15,3400.0,,,,,
2022-04-16,3267.0,,,,,
2022-04-17,15533.0,,,,,
2022-04-18,4102.0,,,,,
2022-04-19,4705.0,,,,,
2022-04-20,9677.0,,,,,
2022-04-21,4159.0,,,,,
2022-04-22,3784.0,,,,,
2022-04-23,12007.0,,,,,
2022-04-24,7980.0,,,,,
2022-04-25,5554.0,,,,,
2022-04-26,3945.0,,,,,
2022-04-27,5998.0,,,,,
2022-04-28,12506.0,,,,,
2022-04-29,7053.0,,,,,
2022-04-30,4045.0,,,,,
2022-05-01,4810.0,,,,,
2022-05-02,2091.0,,,,,
2022-05-03,1247.0,,,,,
2022-05-04,15508.0,,,,,
2022-05-05,10319.0,,,,,
2022-05-06,14703.0,,,,,
2022-05-07,4103.0,,,,,
2022-05-08,6359.0,,,,,
2022-05-09,4162.0,,,,,
2022-05-10,4426.0,,,,,
2022-05-11,6662.0,,,,,
2022-05-12,4453.0,,,,,
2022-05-13,12172.0,,,,,
2022-05-14,9649.0,,,,,
2022-05-15,4506.0,,,,,
2022-05-16,3866.0,,,,,
2022-05-17,7442.0,,,,,
2022-05-18,13830.0,,,,,
2022-05-19,11221.0,,,,,
2022-05-20,5242.0,,,,,
2022-05-21,7487.0,,,,,
2022-05-22,2867.0,,,,,
2022-05-23,5153.0,,,,,
2022-05-24,11069.0,,,,,
2022-05-25,7183.0,,,,,
2022-05-26,3979.0,,,,,
2022-05-27,3199.0,,,,,
2022-05-28,5104.0,,,,,
2022-05-29,5366.0,,,,,
2022-05-30,4743.0,,,,,
2022-05-31,5997.0,,,,,
2022-06-01,4770.0,,,,,
2022-06-02,5023.0,,,,,
2022-06-03,4818.0,,,,,
2022-06-04,10334.0,,,,,
2022-06-05,4567.0,,,,,
2022-06-06,4639.0,,,,,
2022-06-07,5552.0,,,,,
2022-06-08,8163.0,,,,,
2022-06-09,4920.0,,,,,
2022-06-10,12205.0,,,,,
2022-06-11,5833.0,,,,,
2022-06-12,11213.0,,,,,
2022-06-13,10060.0,,,,,
2022-06-14,9485.0,,,,,
2022-06-15,7411.0,,,,,
2022-06-16,11129.0,,,,,
2022-06-17,13126.0,,,,,
2022-06-18,7112.0,,,,,
2022-06-19,3106.0,,,,,
2022-06-20,1508.0,,,,,
2022-06-21,12452.0,,,,,
2022-06-22,6120.0,,,,,
2022-06-23,5670.0,,,,,
2022-06-24,12027.0,,,,,
2022-06-25,17367.0,,,,,
2022-06-26,11140.0,,,,,
2022-06-27,3441.0,,,,,
2022-06-28,9798.0,,,,,
2022-06-29,10219.0,,,,,
2022-06-30,766.0,,,,,
2022-07-01,13099.0,,,,,
2022-07-02,6328.0,,,,,
2022-07-03,7114.0,,,,,
2022-07-04,11517.0,,,,,
2022-07-05,11643.0,,,,,
2022-07-06,10309.0,,,,,
2022-07-07,10108.0,,,,,
2022-07-08,2758.0,,,,,
2022-07-09,870.0,,,,,
2022-07-10,1128.0,,,,,
2022-07-11,2905.0,,,,,
2022-07-12,5217.0,,,,,
2022-07-13,2812.0,,,,,
2022-07-14,3146.0,,,,,
2022-07-15,3192.0,,,,,
2022-07-16,9713.0,,,,,
2022-07-17,3981.0,,,,,
2022-07-18,3622.0,,,,,
2022-07-19,11306.0,,,,,
2022-07-20,2208.0,,,,,
2022-07-21,1352.0,,,,,
2022-07-22,23538.0,,,,,
2022-07-23,6948.0,,,,,
2022-07-24,3884.0,,,,,
2022-07-25,13944.0,,,,,
2022-07-26,974.0,,,,,
2022-07-27,6169.0,,,,,
2022-07-28,824.0,,,,,
2022-07-29,1207.0,,,,,
2022-07-30,11037.0,,,,,
2022-07-31,12283.0,,,,,
2022-08-01,2328.0,,,,,
2022-08-02,6724.0,,,,,
2022-08-03,4946.0,,,,,
2022-08-04,8107.0,,,,,
2022-08-05,1330.0,,,,,
2022-08-06,2180.0,,,,,
2022-08-07,2009.0,,,,,
2022-08-08,620.0,,,,,
2022-08-09,11054.0,,,,,
2022-08-10,5377.0,,,,,
2022-08-11,2916.0,,,,,
2022-08-12,5852.0,,,,,
2022-08-13,2164.0,,,,,
2022-08-14,5247.0,,,,,
2022-08-15,984.0,,,,,
2022-08-16,2547.0,,,,,
2022-08-17,5109.0,,,,,
2022-08-18,3051.0,,,,,
2022-08-19,8291.0,,,,,
2022-08-20,2778.0,,,,,
2022-08-21,2792.0,,,,,
2022-08-22,12094.0,,,,,
2022-08-23,2177.0,,,,,
2022-08-24,4972.0,,,,,
2022-08-25,842.0,,,,,
2022-08-26,3645.0,,,,,
2022-08-27,3306.0,,,,,
2022-08-28,7068.0,,,,,
2022-08-29,3299.0,,,,,
2022-08-30,2847.0,,,,,
2022-08-31,6825.0,,,,,
2022-09-01,14608.0,,,,,
2022-09-02,3349.0,,,,,
2022-09-03,9031.0,,,,,
2022-09-04,3970.0,,,,,
2022-09-05,1653.0,,,,,
2022-09-06,3465.0,,,,,
2022-09-07,3284.0,,,,,
2022-09-08,7487.0,,,,,
2022-09-09,8060.0,,,,,
2022-09-10,7166.0,,,,,
2022-09-11,3321.0,,,,,
2022-09-12,7784.0,,,,,
2022-09-13,8319.0,,,,,
2022-09-14,6603.0,,,,,
2022-09-15,5137.0,,,,,
2022-09-16,8682.0,,,,,
2022-09-17,8904.0,,,,,
2022-09-18,4019.0,,,,,
2022-09-19,4750.0,,,,,
2022-09-20,6736.0,,,,,
2022-09-21,7357.0,,,,,
2022-09-22,4466.0,,,,,
2022-09-23,6090.0,,,,,
2022-09-24,5257.0,,,,,
2022-09-25,14487.0,,,,,
2022-09-26,5818.0,,,,,
2022-09-27,2614.0,,,,,
2022-09-28,10796.0,,,,,
2022-09-29,7760.0,2.5,,,,
2022-09-30,3704.0,77.0,,,,
2022-10-01,1966.0,44.4,,,,
2022-10-02,3201.0,54.5,,,,
2022-10-03,1840.0,49.4,,,,
2022-10-04,2452.0,66.1,,,,
2022-10-05,4388.0,78.0,,,,
2022-10-06,2466.0,60.1,,,,
2022-10-07,4611.0,101.7,,,,
2022-10-08,9504.0,254.1,,,,
2022-10-09,8893.0,211.1,,,,
2022-10-10,8513.0,170.0,,,,
2022-10-11,2932.0,68.8,,,,
2022-10-12,7269.0,153.6,,,,
2022-10-13,2611.0,62.9,,,,
2022-10-14,5738.0,129.0,,,,
2022-10-15,1343.0,29.1,,,,
2022-10-16,5174.0,129.2,,,,
2022-10-17,4196.0,87.1,,,,
2022-10-18,2213.0,49.1,,,,
2022-10-19,3482.0,61.4,,,,
2022-10-20,4403.0,89.1,,,,
2022-10-21,5915.0,109.6,,,,
2022-10-22,1789.0,45.9,,,,
2022-10-23,4414.0,98.7,,,,
